"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","subject","docw","doch","responses","q1film","q2music","q3food","view_history","key_press","partner","test_part","trial_no","correct_response","intime","condition","amounta","amountb","colora","colorb","computeramount","cooperate","yourpayout","yourcolor","computerpayout","computercolor","xposfinal","yposfinal","xposstore","yposstore","timestamp","noofpartners","chose1","chose2","chose3","chose4","chose5","chose1_ind","chose2_ind","chose3_ind","chose4_ind","chose5_ind","group_chosen","group_notchosen","partner_accept","partner_reject","partner_accept_task1","a_top_no","a_bottom_no","b_top_no","b_bottom_no","outside_no","ownamount","defected","timedout"
"null","<table>           <tr><th></th><td></td><td></td><th colspan = ""3"">Please wait while your partner chooses between option A or B...<br><br></th><td></td></tr>           <tr><th></th><td></td><td></td><th colspan = ""3""><div class=""float: center;""><img src=""img/waiting.gif""></img></div><br></th><td></td></tr>           <tr><th></th><td></td><td></td><th>A</th><td></td><th>B</th></tr>             <tr><th>Partner payoff</th><td> <img width=""130"" src=""svgavatars/ready-avatars/partner_auto_2.png""></img> <br> </td>               <td></td><td style = ""font-size: 35px;background-color:#0064ff; border-bottom: 5px solid black;solid black;""><b>400<b></td>               <td></td><td style = ""font-size: 35px;background-color:#00ff7f; border-bottom: 5px solid black;solid black;""><b>500<b></td></tr>             <tr><th>Your payoff</th><td> <img width=""130"" src=""svgavatars/ready-avatars/9ymqjo.png""></img> </td>               <td></td><td style = ""font-size: 35px;background-color:#0064ff""><b>0<b></td>               <td></td> <td style = ""font-size: 35px;background-color:#00ff7f;""><b>500<b></td></tr>          </table>","","html-keyboard-response","60","136422","0.0-8.0-0.1-0.1","9ymqjo","1536","734","","","","","","null","","trust_partner_choosing","2222","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"628","","1","html-button-response","61","137555","0.0-8.0-0.1-1.1","9ymqjo","1536","734","","","","","","","","1_start_click","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","html-button-response","62","137746","0.0-8.0-0.1-2.1","9ymqjo","1536","734","","","","","","","","2_start_leave","1","true","yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","null","html-button-response","63","140752","0.0-8.0-0.1-3.1","9ymqjo","1536","734","","","","","","","","trust_choice","","","","","","","","","","","","","","","1189","280","808,813,813,813,813,813,812,812,810,810,810,809,808,808,808,808,808,808,808,808,808,808,808,808,808,808,808,808,808,808,808,808,808,808,808,808,808,808,808,808,808,808,808,808,808,808,808,808,808,808,808,808,808,808,808,808,808,808,808,808,808,808,808,808,808,808,808,808,809,816,816,844,844,877,903,903,920,920,935,947,947,966,966,979,991,991,1007,1007,1023,1042,1042,1060,1060,1084,1104,1104,1124,1124,1142,1156,1156,1169,1169,1177,1182,1182,1186,1187,1187,1188,1188,1188,1188,1188,1188,1188,1188,1188,1188,1188,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189","609,582,561,561,548,548,533,533,524,519,519,516,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,512,503,503,471,471,436,413,413,399,399,388,376,376,360,360,349,341,341,332,332,326,322,322,318,318,312,304,304,296,296,288,284,284,282,282,281,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280","10,20,33,41,50,60,70,81,90,101,110,121,132,140,150,161,170,180,191,200,211,220,230,240,250,260,270,281,290,300,310,320,331,340,350,361,370,381,390,400,411,420,430,441,450,460,470,480,491,500,510,520,531,541,551,560,570,580,590,601,611,621,630,640,650,660,670,681,692,700,710,720,731,741,750,761,773,780,790,801,810,821,830,840,850,860,873,883,893,903,913,923,933,943,953,963,973,983,993,1003,1013,1023,1034,1043,1053,1063,1074,1085,1093,1103,1113,1123,1133,1143,1153,1163,1175,1183,1193,1203,1213,1223,1233,1243,1253,1263,1273,1283,1293,1303,1313,1323,1333,1342,1353,1362,1372,1382,1392,1403,1413,1423,1433,1443,1453,1463,1473,1484,1493,1503,1513,1523,1533,1543,1553,1563,1573,1583,1593,1603,1613,1623,1633,1643,1653,1663,1673,1683,1693,1703,1713,1723,1733,1743,1753,1763,1773,1784,1793,1803,1813,1823,1833,1843,1853,1863,1873,1883,1893,1903,1913,1923,1933,1943,1953,1963,1973,1983,1993,2003,2013,2023,2034,2043,2053,2063,2073,2084,2093,2103,2113,2123,2134,2143,2153,2163,2173,2183,2193,2203,2213,2223,2232,2243,2253,2263,2273,2283,2294,2303,2313,2323,2333,2343,2353,2363,2373,2383,2393,2403,2413,2436,2443,2453,2463,2473,2483,2493,2503,2513,2523,2533,2543,2553,2563,2573,2584,2593,2602,2613,2623,2633,2643,2653,2663,2673,2683,2693,2703,2713,2722,2733,2743,2753,2763,2773,2782,2793,2802,2813,2823,2834,2843,2853,2863,2873,2883,2893,2903,2913,2923,2933,2943,2953,2963,2973,2983,2993","","","","","","","","","","","","","","","","","400","0","500","500","200","right","0",""
"null","<div><i>You didn't respond within 3 seconds. Please try to respond faster next time!</i></div>","","html-keyboard-response","64","143756","0.0-8.0-0.1-4.1-0.1","9ymqjo","1536","734","","","","","","null","","choice_timeout","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","yes"
"null","<table>           <tr><th></th><td></td><td></td><th colspan = ""3"">Please wait while your partner chooses between option A or B...<br><br></th><td></td></tr>           <tr><th></th><td></td><td></td><th colspan = ""3""><div class=""float: center;""><img src=""img/waiting.gif""></img></div><br></th><td></td></tr>           <tr><th></th><td></td><td></td><th>A</th><td></td><th>B</th></tr>             <tr><th>Partner payoff</th><td> <img width=""130"" src=""svgavatars/ready-avatars/partner_auto_2.png""></img> <br> </td>               <td></td><td style = ""font-size: 35px;background-color:#0064ff; border-bottom: 5px solid black;solid black;""><b>400<b></td>               <td></td><td style = ""font-size: 35px;background-color:#00ff7f; border-bottom: 5px solid black;solid black;""><b>500<b></td></tr>             <tr><th>Your payoff</th><td> <img width=""130"" src=""svgavatars/ready-avatars/9ymqjo.png""></img> </td>               <td></td><td style = ""font-size: 35px;background-color:#0064ff""><b>0<b></td>               <td></td> <td style = ""font-size: 35px;background-color:#00ff7f;""><b>500<b></td></tr>          </table>","","html-keyboard-response","65","149760","0.0-8.0-0.2-0.2","9ymqjo","1536","734","","","","","","null","","trust_partner_choosing","2222","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"43218","","1","html-button-response","66","193483","0.0-8.0-0.2-1.2","9ymqjo","1536","734","","","","","","","","1_start_click","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","html-button-response","67","193612","0.0-8.0-0.2-2.2","9ymqjo","1536","734","","","","","","","","2_start_leave","1","true","yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1812","","4","html-button-response","68","195426","0.0-8.0-0.2-3.2","9ymqjo","1536","734","","","","","","","","trust_choice","","","","","","","","","","","","","","","1129","212","780,786,786,789,780,780,774,774,769,765,765,761,761,758,756,756,754,754,752,752,752,751,751,749,748,748,744,744,733,727,727,725,725,724,724,724,724,724,724,724,724,724,724,724,724,724,724,724,724,724,723,723,722,721,721,720,720,720,720,720,720,720,720,720,720,720,720,727,740,770,770,812,812,860,922,922,946,946,965,982,982,994,994,1004,1020,1020,1032,1032,1044,1056,1056,1069,1069,1082,1096,1096,1104,1104,1112,1117,1117,1120,1120,1123,1126,1126,1128,1128,1129,1129,1129,1129,1129,1129,1129,1129,1129,1129,1129,1129,1129,1129,1129,1129,1129,1129,1129,1129,1129,1129,1129,1129,1129,1129,1129,1129,1129,1129,1129,1129,1129,1129,1129,1129,1129,1129,1129,1129,1129,1129,1129,1129,1129,1129,1129,1129,1129,1129,1129,1129,1129,1129,1129,1129,1129,1129,1129,1129,1129,1129,1129,1129,1129,1129,1129,1129,1129,1129,1129,1129,1129","543,488,488,409,316,316,286,286,271,259,259,248,248,244,240,240,236,236,235,234,234,234,234,234,234,234,234,234,234,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,232,232,227,227,217,217,209,204,204,204,204,202,198,198,195,195,192,188,188,188,188,188,192,192,196,196,199,203,203,204,204,205,206,206,207,207,208,210,210,211,211,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212","10,20,30,41,51,60,71,80,90,101,110,120,130,141,151,160,170,180,190,201,210,220,230,241,251,261,270,280,291,301,312,321,332,341,351,361,370,381,391,401,410,421,431,441,450,461,470,481,490,501,511,520,531,541,551,561,570,580,590,600,611,620,630,641,651,660,670,680,690,703,710,721,731,740,752,760,771,780,790,803,810,821,831,840,852,860,871,881,891,902,912,921,931,941,951,961,971,981,991,1001,1010,1021,1030,1040,1051,1060,1071,1080,1090,1101,1110,1120,1130,1140,1150,1161,1170,1180,1191,1200,1211,1221,1231,1241,1251,1261,1272,1281,1291,1300,1311,1320,1330,1341,1350,1360,1370,1381,1391,1401,1411,1421,1432,1441,1451,1461,1471,1481,1490,1501,1511,1521,1530,1540,1550,1561,1570,1580,1591,1601,1611,1621,1631,1641,1651,1661,1672,1681,1691,1700,1711,1721,1733,1741,1750,1761,1771,1781,1791,1802,1812","","","","","","","","","","","","","","","","","400","0","500","500","200","right","1",""
"49146","<table>              <tr><th><br></th><th></th><td></td><td></td><th></th><td></td><th></th></tr>                <tr><th></th><th>Your choice</th><td> <img width=""130"" src=""svgavatars/ready-avatars/9ymqjo.png""></img> <br> </td>                    <td></td><td colspan=""2"" style = ""font-size: 35px;background-color:#ffaa00;"">                    200</td>                  </tr>                  <tr><th></th><th></th><td></td><td></td><th></th><td></td><th></th></tr>                <tr><th></th><th>Your partner's choice</th><td> <img width=""130"" src=""svgavatars/ready-avatars/partner_auto_2.png""></img> <br> </td>                    <td></td><td style = ""font-size: 35px;background-color:#0064ff;"">                    <u>400</u><br>0</td>                    <td style = ""font-size: 35px;background-color:#00ff7f;"">                    <u>500</u><br>500</td>                </tr>                <tr><th></th><th><br></th></tr>                <tr style= ""border-bottom: 1px solid black;border-top: 1px solid black;""><th></th>                  <th style=""color:red"">REWARDS</th><td></td><td></td><td></td><td></td><td></td></tr>                <tr><td></td><td></td><td></td><td></td></tr>                <tr>                <tr><th><br></th></tr>                <tr><th></th>                  <th style = ""font-size: 35px;"">You</th><td></td>                  <td style = ""font-size: 35px;""><b>200<b></td><td></td><td><br></td>                  </tr>                <tr><th><br></th></tr>                <tr><th></th>                  <th style = ""font-size: 35px;"">Your partner</th><td></td>                  <td style = ""font-size: 35px;""><b>400 or 500<b></td><td></td><td><br></td>                  </tr>              <tr><th><br></th></tr>              <tr><th colspan=""4 ""><i>Press any key on the keyboard to continue</i><br></th></tr>            </table>","","html-keyboard-response","69","245081","0.0-8.0-1.1","9ymqjo","1536","734","","","","","","32","","4_feedback_choice","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"533","<table>           <tr><th></th><td></td><td></td><th colspan = ""3"">Please wait while your partner chooses between option A or B...<br><br></th><td></td></tr>           <tr><th></th><td></td><td></td><th colspan = ""3""><div class=""float: center;""><img src=""img/waiting.gif""></img></div><br></th><td></td></tr>           <tr><th></th><td></td><td></td><th>A</th><td></td><th>B</th></tr>             <tr><th>Partner payoff</th><td> <img width=""130"" src=""svgavatars/ready-avatars/partner_auto_2.png""></img> <br> </td>               <td></td><td style = ""font-size: 35px;background-color:#0064ff; border-bottom: 5px solid black;solid black;""><b>500<b></td>               <td></td><td style = ""font-size: 35px;background-color:#00ff7f; border-bottom: 5px solid black;solid black;""><b>500<b></td></tr>             <tr><th>Your payoff</th><td> <img width=""130"" src=""svgavatars/ready-avatars/9ymqjo.png""></img> </td>               <td></td><td style = ""font-size: 35px;background-color:#0064ff""><b>0<b></td>               <td></td> <td style = ""font-size: 35px;background-color:#00ff7f;""><b>500<b></td></tr>          </table>","","html-keyboard-response","70","250614","0.0-8.0-0.3-0.3","9ymqjo","1536","734","","","","","","122","","trust_partner_choosing","2222","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"474","","1","html-button-response","71","251590","0.0-8.0-0.3-1.3","9ymqjo","1536","734","","","","","","","","1_start_click","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","html-button-response","72","251781","0.0-8.0-0.3-2.3","9ymqjo","1536","734","","","","","","","","2_start_leave","5","true","yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"975","","4","html-button-response","73","252759","0.0-8.0-0.3-3.3","9ymqjo","1536","734","","","","","","","","trust_choice","","","","","","","","","","","","","","","1173","264","801,820,844,844,870,870,889,902,902,912,912,925,939,939,948,948,948,948,948,948,948,948,948,948,948,948,948,948,948,948,948,948,948,948,948,948,948,948,948,948,948,948,948,949,955,955,972,995,995,1020,1020,1055,1076,1076,1092,1092,1110,1126,1126,1140,1140,1152,1159,1159,1161,1161,1162,1164,1164,1166,1166,1168,1170,1170,1172,1172,1173,1173,1173,1173,1173,1173,1173,1173,1173,1173,1173,1173,1173,1173,1173,1173,1173,1173,1173,1173,1173","626,541,424,424,358,358,316,299,299,284,284,271,260,260,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,256,256,256,256,252,252,248,248,249,254,254,257,257,260,261,261,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264","11,20,33,41,50,60,70,82,91,101,110,121,131,140,150,161,170,181,190,201,210,221,231,240,250,260,271,280,291,300,311,320,330,340,350,361,370,380,390,400,411,422,431,441,450,461,471,481,490,501,510,520,531,541,551,561,571,581,590,600,610,621,630,640,651,660,670,683,691,701,710,720,732,741,751,761,771,780,791,800,810,820,831,841,850,860,872,880,891,900,910,920,930,940,950,961,971","","","","","","","","","","","","","","","","","500","0","500","500","200","right","1",""
"841","<table>              <tr><th><br></th><th></th><td></td><td></td><th></th><td></td><th></th></tr>                <tr><th></th><th>Your choice</th><td> <img width=""130"" src=""svgavatars/ready-avatars/9ymqjo.png""></img> <br> </td>                    <td></td><td colspan=""2"" style = ""font-size: 35px;background-color:#ffaa00;"">                    200</td>                  </tr>                  <tr><th></th><th></th><td></td><td></td><th></th><td></td><th></th></tr>                <tr><th></th><th>Your partner's choice</th><td> <img width=""130"" src=""svgavatars/ready-avatars/partner_auto_2.png""></img> <br> </td>                    <td></td><td style = ""font-size: 35px;background-color:#0064ff;"">                    <u>500</u><br>0</td>                    <td style = ""font-size: 35px;background-color:#00ff7f;"">                    <u>500</u><br>500</td>                </tr>                <tr><th></th><th><br></th></tr>                <tr style= ""border-bottom: 1px solid black;border-top: 1px solid black;""><th></th>                  <th style=""color:red"">REWARDS</th><td></td><td></td><td></td><td></td><td></td></tr>                <tr><td></td><td></td><td></td><td></td></tr>                <tr>                <tr><th><br></th></tr>                <tr><th></th>                  <th style = ""font-size: 35px;"">You</th><td></td>                  <td style = ""font-size: 35px;""><b>200<b></td><td></td><td><br></td>                  </tr>                <tr><th><br></th></tr>                <tr><th></th>                  <th style = ""font-size: 35px;"">Your partner</th><td></td>                  <td style = ""font-size: 35px;""><b>500 or 500<b></td><td></td><td><br></td>                  </tr>              <tr><th><br></th></tr>              <tr><th colspan=""4 ""><i>Press any key on the keyboard to continue</i><br></th></tr>            </table>","","html-keyboard-response","74","254105","0.0-8.0-1.2","9ymqjo","1536","734","","","","","","32","","4_feedback_choice","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","<table>           <tr><th></th><td></td><td></td><th colspan = ""3"">Please wait while your partner chooses between option A or B...<br><br></th><td></td></tr>           <tr><th></th><td></td><td></td><th colspan = ""3""><div class=""float: center;""><img src=""img/waiting.gif""></img></div><br></th><td></td></tr>           <tr><th></th><td></td><td></td><th>A</th><td></td><th>B</th></tr>             <tr><th>Partner payoff</th><td> <img width=""130"" src=""svgavatars/ready-avatars/partner_auto_2.png""></img> <br> </td>               <td></td><td style = ""font-size: 35px;background-color:#0064ff; border-bottom: 5px solid black;solid black;""><b>450<b></td>               <td></td><td style = ""font-size: 35px;background-color:#00ff7f; border-bottom: 5px solid black;solid black;""><b>500<b></td></tr>             <tr><th>Your payoff</th><td> <img width=""130"" src=""svgavatars/ready-avatars/9ymqjo.png""></img> </td>               <td></td><td style = ""font-size: 35px;background-color:#0064ff""><b>0<b></td>               <td></td> <td style = ""font-size: 35px;background-color:#00ff7f;""><b>500<b></td></tr>          </table>","","html-keyboard-response","75","259638","0.0-8.0-0.4-0.4","9ymqjo","1536","734","","","","","","null","","trust_partner_choosing","2222","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"531","","1","html-button-response","76","260671","0.0-8.0-0.4-1.4","9ymqjo","1536","734","","","","","","","","1_start_click","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","html-button-response","77","260766","0.0-8.0-0.4-2.4","9ymqjo","1536","734","","","","","","","","2_start_leave","4","true","yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"833","","0","html-button-response","78","261603","0.0-8.0-0.4-3.4","9ymqjo","1536","734","","","","","","","","trust_choice","","","","","","","","","","","","","","","255","255","756,746,746,726,691,691,644,591,591,512,512,468,468,428,376,376,332,332,299,272,272,253,253,235,220,220,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,216,217,220,220,223,223,231,238,238,246,246,252,255,255,255,255,255,255,255,255,255","593,555,555,510,463,463,415,375,375,342,342,324,324,314,298,298,280,280,264,254,254,248,248,244,240,240,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,238,240,241,241,242,242,244,246,246,248,248,252,255,255,255,255,255,255,255,255,255","11,21,32,41,51,61,71,84,91,101,111,121,131,141,150,161,170,182,190,201,211,220,231,241,251,261,271,281,291,300,310,321,331,341,350,361,370,381,391,401,411,421,430,441,451,461,471,481,491,501,511,521,531,541,551,560,571,581,591,602,611,621,631,641,652,661,671,681,691,701,711,720,731,741,751,761,772,781,791,801,811,821,831","","","","","","","","","","","","","","","","","450","0","500","500","400","right","0",""
"1040","<table>              <tr><th><br></th><th></th><td></td><td></td><th></th><td></td><th></th></tr>                <tr><th></th><th>Your choice</th><td> <img width=""130"" src=""svgavatars/ready-avatars/9ymqjo.png""></img> <br> </td>                <td></td><td style = ""font-size: 35px;background-color:#0064ff;"">                <u>450</u><br>0</td>                <td style = ""font-size: 35px;background-color:#00ff7f;"">                <u>500</u><br>500</td>                  </tr>                <tr><th><br></th><th></th><td></td><td></td><th></th><td></td><th></th></tr>                <tr><th></th><th>Your partner's choice</th><td> <img width=""130"" src=""svgavatars/ready-avatars/partner_auto_2.png""></img> <br> </td>                    <td></td><td style = ""font-size: 35px;background-color:#0064ff;"">                    <u>450</u><br>0</td>                    <td style = ""font-size: 35px;background-color:#00ff7f;"">                    <u>500</u><br>500</td>                </tr>                <tr><th></th><th><br></th></tr>                <tr style= ""border-bottom: 1px solid black;border-top: 1px solid black;""><th></th>                  <th style=""color:red"">REWARDS</th><td></td><td></td><td></td><td></td><td></td></tr>                <tr><td></td><td></td><td></td><td></td></tr>                <tr>                <tr><th><br></th></tr>                <tr><th></th>                  <th style = ""font-size: 30px;"">You</th><td></td>                  <td style = ""font-size: 30px;""><b>0 or 500<b></td><td></td><td><br></td>                  </tr>                <tr><th><br></th></tr>                <tr><th></th>                  <th style = ""font-size: 30px;"">Your partner</th><td></td>                  <td style = ""font-size: 30px;""><b>450 or 500<b></td><td></td><td><br></td>                  </tr>                  <tr><th colspan=""4 ""><i>Press any key on the keyboard to continue</i><br></th></tr>            </table>","","html-keyboard-response","79","263144","0.0-8.0-1.3","9ymqjo","1536","734","","","","","","32","","4_feedback_choice","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
