"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","subject","docw","doch","responses","q1film","q2music","q3food","view_history","key_press","partner","test_part","trial_no","correct_response","intime","condition","amounta","amountb","colora","colorb","computeramount","cooperate","yourpayout","yourcolor","computerpayout","computercolor","xposfinal","yposfinal","xposstore","yposstore","timestamp","noofpartners","chose1","chose2","chose3","chose4","chose5","chose1_ind","chose2_ind","chose3_ind","chose4_ind","chose5_ind","group_chosen","group_notchosen","partner_accept","partner_reject","partner_accept_task1","a_top_no","a_bottom_no","b_top_no","b_bottom_no","outside_no","ownamount","defected"
"2678","<table>              <tr><th><br></th><th></th><td></td><td></td><th></th><td></td><th></th></tr>                <tr><th></th><th>Your choice</th><td> <img width=""130"" src=""svgavatars/ready-avatars/eb4p80.png""></img> <br> </td>                <td></td><td style = ""font-size: 35px;background-color:#0064ff;"">                <u>650</u><br>0</td>                <td style = ""font-size: 35px;background-color:#00ff7f;"">                <u>500</u><br>500</td>                  </tr>                <tr><th><br></th><th></th><td></td><td></td><th></th><td></td><th></th></tr>                <tr><th></th><th>Your partner's choice</th><td> <img width=""130"" src=""svgavatars/ready-avatars/partner_auto_2.png""></img> <br> </td>                    <td></td><td style = ""font-size: 35px;background-color:#0064ff;"">                    <u>650</u><br>0</td>                    <td style = ""font-size: 35px;background-color:#00ff7f;"">                    <u>500</u><br>500</td>                </tr>                <tr><th></th><th><br></th></tr>                <tr style= ""border-bottom: 1px solid black;border-top: 1px solid black;""><th></th>                  <th style=""color:red"">REWARDS</th><td></td><td></td><td></td><td></td><td></td></tr>                <tr><td></td><td></td><td></td><td></td></tr>                <tr>                <tr><th><br></th></tr>                <tr><th></th>                  <th style = ""font-size: 30px;"">You</th><td></td>                  <td style = ""font-size: 30px;""><b>0 or 500<b></td><td></td><td><br></td>                  </tr>                <tr><th><br></th></tr>                <tr><th></th>                  <th style = ""font-size: 30px;"">Your partner</th><td></td>                  <td style = ""font-size: 30px;""><b>650 or 500<b></td><td></td><td><br></td>                  </tr>                  <tr><th colspan=""4 ""><i>Press any key on the keyboard to continue</i><br></th></tr>            </table>","","html-keyboard-response","65","188539","0.0-8.0-1.1","eb4p80","1127","734","","","","","","32","","4_feedback_choice","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","<table>           <tr><th></th><td></td><td></td><th colspan = ""3"">Please wait while your partner chooses between option A or B...<br><br></th><td></td></tr>           <tr><th></th><td></td><td></td><th colspan = ""3""><div class=""float: center;""><img src=""img/waiting.gif""></img></div><br></th><td></td></tr>           <tr><th></th><td></td><td></td><th>A</th><td></td><th>B</th></tr>             <tr><th>Partner payoff</th><td> <img width=""130"" src=""svgavatars/ready-avatars/partner_auto_2.png""></img> <br> </td>               <td></td><td style = ""font-size: 35px;background-color:#0064ff; border-bottom: 5px solid black;solid black;""><b>550<b></td>               <td></td><td style = ""font-size: 35px;background-color:#00ff7f; border-bottom: 5px solid black;solid black;""><b>500<b></td></tr>             <tr><th>Your payoff</th><td> <img width=""130"" src=""svgavatars/ready-avatars/eb4p80.png""></img> </td>               <td></td><td style = ""font-size: 35px;background-color:#0064ff""><b>0<b></td>               <td></td> <td style = ""font-size: 35px;background-color:#00ff7f;""><b>500<b></td></tr>          </table>","","html-keyboard-response","66","194056","0.0-8.0-0.2-0.2","eb4p80","1127","734","","","","","","null","","trust_partner_choosing","2222","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"465","","1","html-button-response","67","195023","0.0-8.0-0.2-1.2","eb4p80","1127","734","","","","","","","","1_start_click","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","html-button-response","68","195141","0.0-8.0-0.2-2.2","eb4p80","1127","734","","","","","","","","2_start_leave","6","true","yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1349","","0","html-button-response","69","196496","0.0-8.0-0.2-3.2","eb4p80","1127","734","","","","","","","","trust_choice","","","","","","","","","","","","","","","395","128","810,764,716,716,682,682,665,650,650,636,636,620,603,603,585,585,559,542,542,520,520,498,480,480,456,456,436,422,422,411,411,410,410,410,410,410,410,410,410,410,409,408,408,407,406,406,404,402,402,401,401,401,401,401,400,400,400,400,400,400,400,399,399,399,398,398,397,396,396,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395","553,375,267,267,214,214,196,184,184,177,177,173,168,168,164,164,160,156,156,152,152,147,143,143,138,138,134,130,130,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,126,126,126,126,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128","14,20,31,40,51,60,70,80,90,100,110,119,132,141,150,160,170,180,191,200,210,220,231,240,250,261,271,280,291,301,310,320,330,340,350,360,371,380,391,400,411,421,430,440,450,460,470,480,491,500,511,521,530,541,551,560,571,580,591,601,611,620,630,640,651,661,670,680,691,702,711,720,730,741,750,760,770,780,790,800,810,820,831,840,850,860,871,880,891,900,910,920,930,941,950,960,970,981,991,1000,1011,1021,1031,1041,1051,1060,1070,1081,1091,1100,1111,1121,1130,1141,1150,1160,1170,1180,1191,1201,1210,1221,1231,1246,1252,1261,1270,1281,1290,1300,1310,1320,1331,1341","","","","","","","","","","","","","","","","","550","0","500","500","200","left","1"
"6669","<table>              <tr><th><br></th><th></th><td></td><td></td><th></th><td></td><th></th></tr>                <tr><th></th><th>Your choice</th><td> <img width=""130"" src=""svgavatars/ready-avatars/eb4p80.png""></img> <br> </td>                    <td></td><td colspan=""2"" style = ""font-size: 35px;background-color:#ffaa00;"">                    200</td>                  </tr>                  <tr><th></th><th></th><td></td><td></td><th></th><td></td><th></th></tr>                <tr><th></th><th>Your partner's choice</th><td> <img width=""130"" src=""svgavatars/ready-avatars/partner_auto_2.png""></img> <br> </td>                    <td></td><td style = ""font-size: 35px;background-color:#0064ff;"">                    <u>550</u><br>0</td>                    <td style = ""font-size: 35px;background-color:#00ff7f;"">                    <u>500</u><br>500</td>                </tr>                <tr><th></th><th><br></th></tr>                <tr style= ""border-bottom: 1px solid black;border-top: 1px solid black;""><th></th>                  <th style=""color:red"">REWARDS</th><td></td><td></td><td></td><td></td><td></td></tr>                <tr><td></td><td></td><td></td><td></td></tr>                <tr>                <tr><th><br></th></tr>                <tr><th></th>                  <th style = ""font-size: 35px;"">You</th><td></td>                  <td style = ""font-size: 35px;""><b>200<b></td><td></td><td><br></td>                  </tr>                <tr><th><br></th></tr>                <tr><th></th>                  <th style = ""font-size: 35px;"">Your partner</th><td></td>                  <td style = ""font-size: 35px;""><b>550 or 500<b></td><td></td><td><br></td>                  </tr>              <tr><th><br></th></tr>              <tr><th colspan=""4 ""><i>Press any key on the keyboard to continue</i><br></th></tr>            </table>","","html-keyboard-response","70","203668","0.0-8.0-1.2","eb4p80","1127","734","","","","","","32","","4_feedback_choice","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","<table>           <tr><th></th><td></td><td></td><th colspan = ""3"">Please wait while your partner chooses between option A or B...<br><br></th><td></td></tr>           <tr><th></th><td></td><td></td><th colspan = ""3""><div class=""float: center;""><img src=""img/waiting.gif""></img></div><br></th><td></td></tr>           <tr><th></th><td></td><td></td><th>A</th><td></td><th>B</th></tr>             <tr><th>Partner payoff</th><td> <img width=""130"" src=""svgavatars/ready-avatars/partner_auto_2.png""></img> <br> </td>               <td></td><td style = ""font-size: 35px;background-color:#0064ff; border-bottom: 5px solid black;solid black;""><b>450<b></td>               <td></td><td style = ""font-size: 35px;background-color:#00ff7f; border-bottom: 5px solid black;solid black;""><b>500<b></td></tr>             <tr><th>Your payoff</th><td> <img width=""130"" src=""svgavatars/ready-avatars/eb4p80.png""></img> </td>               <td></td><td style = ""font-size: 35px;background-color:#0064ff""><b>0<b></td>               <td></td> <td style = ""font-size: 35px;background-color:#00ff7f;""><b>500<b></td></tr>          </table>","","html-keyboard-response","71","208708","0.0-8.0-0.3-0.3","eb4p80","1127","734","","","","","","null","","trust_partner_choosing","2222","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"128111","","1","html-button-response","72","337320","0.0-8.0-0.3-1.3","eb4p80","1127","734","","","","","","","","1_start_click","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","html-button-response","73","337628","0.0-8.0-0.3-2.3","eb4p80","1127","734","","","","","","","","2_start_leave","3","true","yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1510","","0","html-button-response","74","339140","0.0-8.0-0.3-3.3","eb4p80","1127","734","","","","","","","","trust_choice","","","","","","","","","","","","","","","363","117","764,765,768,768,770,770,771,766,766,752,740,740,724,724,708,708,695,667,667,661,645,645,632,632,617,617,602,584,584,566,540,540,522,522,508,508,496,484,484,476,476,467,461,461,454,454,442,430,430,419,407,407,400,400,396,396,392,388,388,386,386,382,377,377,372,372,368,364,364,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363,363","556,519,492,492,465,465,440,415,415,378,360,360,343,343,326,326,311,280,280,273,257,257,246,246,234,234,220,202,202,188,168,168,159,159,150,150,146,142,142,140,140,138,137,137,135,135,132,129,129,125,122,122,120,120,120,120,120,120,120,120,120,120,118,118,118,118,118,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117","11,21,32,41,50,61,71,83,91,101,116,120,132,140,151,160,170,205,210,220,231,240,250,261,270,280,291,300,311,320,331,340,350,360,370,380,391,400,410,421,430,441,450,460,470,481,491,500,510,520,532,540,551,560,571,581,591,600,611,620,631,640,651,661,670,680,691,700,710,720,730,740,750,760,771,781,790,800,811,820,831,840,851,861,871,880,891,901,910,921,930,940,950,961,971,980,991,1001,1010,1020,1031,1040,1050,1061,1070,1081,1090,1100,1111,1120,1132,1141,1151,1160,1170,1180,1190,1200,1210,1220,1231,1240,1251,1260,1270,1280,1291,1301,1311,1321,1330,1340,1350,1361,1371,1381,1395,1400,1410,1421,1430,1441,1451,1460,1470,1480,1490,1500","","","","","","","","","","","","","","","","","450","0","500","500","200","left","1"
"1871","<table>              <tr><th><br></th><th></th><td></td><td></td><th></th><td></td><th></th></tr>                <tr><th></th><th>Your choice</th><td> <img width=""130"" src=""svgavatars/ready-avatars/eb4p80.png""></img> <br> </td>                    <td></td><td colspan=""2"" style = ""font-size: 35px;background-color:#ffaa00;"">                    200</td>                  </tr>                  <tr><th></th><th></th><td></td><td></td><th></th><td></td><th></th></tr>                <tr><th></th><th>Your partner's choice</th><td> <img width=""130"" src=""svgavatars/ready-avatars/partner_auto_2.png""></img> <br> </td>                    <td></td><td style = ""font-size: 35px;background-color:#0064ff;"">                    <u>450</u><br>0</td>                    <td style = ""font-size: 35px;background-color:#00ff7f;"">                    <u>500</u><br>500</td>                </tr>                <tr><th></th><th><br></th></tr>                <tr style= ""border-bottom: 1px solid black;border-top: 1px solid black;""><th></th>                  <th style=""color:red"">REWARDS</th><td></td><td></td><td></td><td></td><td></td></tr>                <tr><td></td><td></td><td></td><td></td></tr>                <tr>                <tr><th><br></th></tr>                <tr><th></th>                  <th style = ""font-size: 35px;"">You</th><td></td>                  <td style = ""font-size: 35px;""><b>200<b></td><td></td><td><br></td>                  </tr>                <tr><th><br></th></tr>                <tr><th></th>                  <th style = ""font-size: 35px;"">Your partner</th><td></td>                  <td style = ""font-size: 35px;""><b>450 or 500<b></td><td></td><td><br></td>                  </tr>              <tr><th><br></th></tr>              <tr><th colspan=""4 ""><i>Press any key on the keyboard to continue</i><br></th></tr>            </table>","","html-keyboard-response","75","341515","0.0-8.0-1.3","eb4p80","1127","734","","","","","","32","","4_feedback_choice","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","<table>           <tr><th></th><td></td><td></td><th colspan = ""3"">Please wait while your partner chooses between option A or B...<br><br></th><td></td></tr>           <tr><th></th><td></td><td></td><th colspan = ""3""><div class=""float: center;""><img src=""img/waiting.gif""></img></div><br></th><td></td></tr>           <tr><th></th><td></td><td></td><th>A</th><td></td><th>B</th></tr>             <tr><th>Partner payoff</th><td> <img width=""130"" src=""svgavatars/ready-avatars/partner_auto_2.png""></img> <br> </td>               <td></td><td style = ""font-size: 35px;background-color:#0064ff; border-bottom: 5px solid black;solid black;""><b>500<b></td>               <td></td><td style = ""font-size: 35px;background-color:#00ff7f; border-bottom: 5px solid black;solid black;""><b>500<b></td></tr>             <tr><th>Your payoff</th><td> <img width=""130"" src=""svgavatars/ready-avatars/eb4p80.png""></img> </td>               <td></td><td style = ""font-size: 35px;background-color:#0064ff""><b>0<b></td>               <td></td> <td style = ""font-size: 35px;background-color:#00ff7f;""><b>500<b></td></tr>          </table>","","html-keyboard-response","76","347539","0.0-8.0-0.4-0.4","eb4p80","1127","734","","","","","","null","","trust_partner_choosing","2222","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"628","","1","html-button-response","77","348669","0.0-8.0-0.4-1.4","eb4p80","1127","734","","","","","","","","1_start_click","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","html-button-response","78","348744","0.0-8.0-0.4-2.4","eb4p80","1127","734","","","","","","","","2_start_leave","5","true","yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"673","","3","html-button-response","79","349419","0.0-8.0-0.4-3.4","eb4p80","1127","734","","","","","","","","trust_choice","","","","","","","","","","","","","","","1189","85","790,800,800,816,829,829,840,840,853,866,866,877,877,888,900,900,915,915,933,967,967,986,986,1004,1020,1020,1036,1036,1052,1080,1080,1096,1096,1109,1121,1121,1132,1132,1137,1140,1140,1144,1144,1148,1152,1152,1156,1160,1160,1165,1165,1170,1170,1174,1182,1182,1186,1186,1188,1189,1189,1189,1189,1189,1189,1189,1189","539,477,477,400,320,320,288,288,268,254,254,246,246,238,228,228,216,216,203,182,182,174,174,170,166,166,161,161,155,137,137,130,130,124,119,119,115,115,112,109,109,108,108,106,103,103,100,99,99,96,96,95,95,92,88,88,85,85,85,85,85,85,85,85,85,85,85","11,20,31,41,51,61,71,81,91,100,111,121,131,142,151,161,171,181,191,201,211,220,231,241,251,261,271,281,291,301,310,321,331,341,351,361,371,381,391,400,411,421,431,440,450,460,470,482,491,501,510,521,531,540,551,561,571,581,591,602,611,621,631,642,651,661,670","","","","","","","","","","","","","","","","","500","0","500","500","200","left","0"
"1260","<table>              <tr><th><br></th><th></th><td></td><td></td><th></th><td></td><th></th></tr>                <tr><th></th><th>Your choice</th><td> <img width=""130"" src=""svgavatars/ready-avatars/eb4p80.png""></img> <br> </td>                <td></td><td style = ""font-size: 35px;background-color:#0064ff;"">                <u>500</u><br>0</td>                <td style = ""font-size: 35px;background-color:#00ff7f;"">                <u>500</u><br>500</td>                  </tr>                <tr><th><br></th><th></th><td></td><td></td><th></th><td></td><th></th></tr>                <tr><th></th><th>Your partner's choice</th><td> <img width=""130"" src=""svgavatars/ready-avatars/partner_auto_2.png""></img> <br> </td>                    <td></td><td style = ""font-size: 35px;background-color:#0064ff;"">                    <u>500</u><br>0</td>                    <td style = ""font-size: 35px;background-color:#00ff7f;"">                    <u>500</u><br>500</td>                </tr>                <tr><th></th><th><br></th></tr>                <tr style= ""border-bottom: 1px solid black;border-top: 1px solid black;""><th></th>                  <th style=""color:red"">REWARDS</th><td></td><td></td><td></td><td></td><td></td></tr>                <tr><td></td><td></td><td></td><td></td></tr>                <tr>                <tr><th><br></th></tr>                <tr><th></th>                  <th style = ""font-size: 30px;"">You</th><td></td>                  <td style = ""font-size: 30px;""><b>0 or 500<b></td><td></td><td><br></td>                  </tr>                <tr><th><br></th></tr>                <tr><th></th>                  <th style = ""font-size: 30px;"">Your partner</th><td></td>                  <td style = ""font-size: 30px;""><b>500 or 500<b></td><td></td><td><br></td>                  </tr>                  <tr><th colspan=""4 ""><i>Press any key on the keyboard to continue</i><br></th></tr>            </table>","","html-keyboard-response","80","351186","0.0-8.0-1.4","eb4p80","1127","734","","","","","","32","","4_feedback_choice","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","<table>           <tr><th></th><td></td><td></td><th colspan = ""3"">Please wait while your partner chooses between option A or B...<br><br></th><td></td></tr>           <tr><th></th><td></td><td></td><th colspan = ""3""><div class=""float: center;""><img src=""img/waiting.gif""></img></div><br></th><td></td></tr>           <tr><th></th><td></td><td></td><th>A</th><td></td><th>B</th></tr>             <tr><th>Partner payoff</th><td> <img width=""130"" src=""svgavatars/ready-avatars/partner_auto_2.png""></img> <br> </td>               <td></td><td style = ""font-size: 35px;background-color:#0064ff; border-bottom: 5px solid black;solid black;""><b>400<b></td>               <td></td><td style = ""font-size: 35px;background-color:#00ff7f; border-bottom: 5px solid black;solid black;""><b>500<b></td></tr>             <tr><th>Your payoff</th><td> <img width=""130"" src=""svgavatars/ready-avatars/eb4p80.png""></img> </td>               <td></td><td style = ""font-size: 35px;background-color:#0064ff""><b>0<b></td>               <td></td> <td style = ""font-size: 35px;background-color:#00ff7f;""><b>500<b></td></tr>          </table>","","html-keyboard-response","81","356218","0.0-8.0-0.5-0.5","eb4p80","1127","734","","","","","","null","","trust_partner_choosing","2222","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"799","","1","html-button-response","82","357518","0.0-8.0-0.5-1.5","eb4p80","1127","734","","","","","","","","1_start_click","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","html-button-response","83","357826","0.0-8.0-0.5-2.5","eb4p80","1127","734","","","","","","","","2_start_leave","2","true","yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"630","","0","html-button-response","84","358459","0.0-8.0-0.5-3.5","eb4p80","1127","734","","","","","","","","trust_choice","","","","","","","","","","","","","","","296","79","710,698,698,672,633,633,590,590,534,481,481,406,406,380,358,358,341,341,328,316,316,297,297,283,270,270,259,259,253,250,250,250,250,252,256,256,265,265,272,278,278,286,286,292,294,294,296,296,296,296,296,296,296,296,296,296,296,296,296,296,296,296","597,537,537,461,391,391,332,332,277,243,243,204,204,189,183,183,176,176,170,166,166,161,161,160,156,156,146,146,136,128,128,123,123,116,108,108,96,96,88,84,84,80,80,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79","12,21,32,41,51,62,70,81,92,101,111,121,131,142,152,161,170,182,191,201,211,222,231,242,251,261,271,282,291,301,312,322,332,342,351,362,372,381,391,401,412,421,431,442,452,461,472,481,491,502,512,522,531,541,558,562,571,582,592,601,612,622","","","","","","","","","","","","","","","","","400","0","500","500","400","left","1"
"2000","<table>              <tr><th><br></th><th></th><td></td><td></td><th></th><td></td><th></th></tr>                <tr><th></th><th>Your choice</th><td> <img width=""130"" src=""svgavatars/ready-avatars/eb4p80.png""></img> <br> </td>                    <td></td><td colspan=""2"" style = ""font-size: 35px;background-color:#ffaa00;"">                    400</td>                  </tr>                  <tr><th></th><th></th><td></td><td></td><th></th><td></td><th></th></tr>                <tr><th></th><th>Your partner's choice</th><td> <img width=""130"" src=""svgavatars/ready-avatars/partner_auto_2.png""></img> <br> </td>                    <td></td><td style = ""font-size: 35px;background-color:#0064ff;"">                    <u>400</u><br>0</td>                    <td style = ""font-size: 35px;background-color:#00ff7f;"">                    <u>500</u><br>500</td>                </tr>                <tr><th></th><th><br></th></tr>                <tr style= ""border-bottom: 1px solid black;border-top: 1px solid black;""><th></th>                  <th style=""color:red"">REWARDS</th><td></td><td></td><td></td><td></td><td></td></tr>                <tr><td></td><td></td><td></td><td></td></tr>                <tr>                <tr><th><br></th></tr>                <tr><th></th>                  <th style = ""font-size: 35px;"">You</th><td></td>                  <td style = ""font-size: 35px;""><b>400<b></td><td></td><td><br></td>                  </tr>                <tr><th><br></th></tr>                <tr><th></th>                  <th style = ""font-size: 35px;"">Your partner</th><td></td>                  <td style = ""font-size: 35px;""><b>400 or 500<b></td><td></td><td><br></td>                  </tr>              <tr><th><br></th></tr>              <tr><th colspan=""4 ""><i>Press any key on the keyboard to continue</i><br></th></tr>            </table>","","html-keyboard-response","85","360962","0.0-8.0-1.5","eb4p80","1127","734","","","","","","32","","4_feedback_choice","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
